slug,startDate,endDate,p_up,p_down
btc-updown-5m-1777847700,2026-05-02T22:44:21.738641Z,2026-05-03T22:40:00Z,0,1
btc-updown-5m-1777848000,2026-05-02T22:49:13.511588Z,2026-05-03T22:45:00Z,1,0
btc-updown-5m-1777848300,2026-05-02T22:54:46.405572Z,2026-05-03T22:50:00Z,1,0
btc-updown-5m-1777848600,2026-05-02T22:58:31.950126Z,2026-05-03T22:55:00Z,0,1
btc-updown-5m-1777848900,2026-05-02T23:04:21.615848Z,2026-05-03T23:00:00Z,0,1
btc-updown-5m-1777849200,2026-05-02T23:08:35.898494Z,2026-05-03T23:05:00Z,1,0
btc-updown-5m-1777849500,2026-05-02T23:14:15.766979Z,2026-05-03T23:10:00Z,0,1
btc-updown-5m-1777849800,2026-05-02T23:19:11.839067Z,2026-05-03T23:15:00Z,0,1
btc-updown-5m-1777850100,2026-05-02T23:23:40.600857Z,2026-05-03T23:20:00Z,0,1
btc-updown-5m-1777850400,2026-05-02T23:28:31.460733Z,2026-05-03T23:25:00Z,0,1
btc-updown-5m-1777850700,2026-05-02T23:34:13.212586Z,2026-05-03T23:30:00Z,0,1
btc-updown-5m-1777851000,2026-05-02T23:38:11.128285Z,2026-05-03T23:35:00Z,0,1
btc-updown-5m-1777851300,2026-05-02T23:43:37.671418Z,2026-05-03T23:40:00Z,1,0
btc-updown-5m-1777851600,2026-05-02T23:49:13.53348Z,2026-05-03T23:45:00Z,0,1
btc-updown-5m-1777851900,2026-05-02T23:53:41.80049Z,2026-05-03T23:50:00Z,0,1
btc-updown-5m-1777852200,2026-05-02T23:59:07.326796Z,2026-05-03T23:55:00Z,1,0
btc-updown-5m-1777852500,2026-05-03T00:04:19.37316Z,2026-05-04T00:00:00Z,0,1
