slug,startDate,endDate,p_up,p_down
btc-updown-5m-1777785000,2026-05-02T05:19:12.277029Z,2026-05-03T05:15:00Z,0,1
btc-updown-5m-1777785300,2026-05-02T05:23:38.189234Z,2026-05-03T05:20:00Z,0,1
btc-updown-5m-1777785600,2026-05-02T05:29:14.11294Z,2026-05-03T05:25:00Z,1,0
btc-updown-5m-1777785900,2026-05-02T05:34:13.263059Z,2026-05-03T05:30:00Z,0,1
btc-updown-5m-1777786200,2026-05-02T05:38:49.637158Z,2026-05-03T05:35:00Z,1,0
btc-updown-5m-1777786500,2026-05-02T05:43:37.291713Z,2026-05-03T05:40:00Z,0,1
btc-updown-5m-1777786800,2026-05-02T05:49:07.570404Z,2026-05-03T05:45:00Z,0,1
btc-updown-5m-1777787100,2026-05-02T05:53:09.411933Z,2026-05-03T05:50:00Z,1,0
btc-updown-5m-1777787400,2026-05-02T05:58:07.908535Z,2026-05-03T05:55:00Z,1,0
btc-updown-5m-1777787700,2026-05-02T06:03:34.779239Z,2026-05-03T06:00:00Z,1,0
btc-updown-5m-1777788000,2026-05-02T06:09:14.843058Z,2026-05-03T06:05:00Z,0,1
btc-updown-5m-1777788300,2026-05-02T06:13:19.365405Z,2026-05-03T06:10:00Z,0,1
btc-updown-5m-1777788600,2026-05-02T06:18:35.801555Z,2026-05-03T06:15:00Z,0,1
btc-updown-5m-1777788900,2026-05-02T06:24:31.57855Z,2026-05-03T06:20:00Z,0,1
btc-updown-5m-1777789200,2026-05-02T06:28:46.406836Z,2026-05-03T06:25:00Z,0,1
btc-updown-5m-1777789500,2026-05-02T06:33:05.905063Z,2026-05-03T06:30:00Z,0,1
btc-updown-5m-1777789800,2026-05-02T06:38:47.504362Z,2026-05-03T06:35:00Z,1,0
btc-updown-5m-1777790100,2026-05-02T06:43:53.016688Z,2026-05-03T06:40:00Z,0,1
btc-updown-5m-1777790400,2026-05-02T06:48:05.426475Z,2026-05-03T06:45:00Z,0,1
btc-updown-5m-1777790700,2026-05-02T06:53:35.775867Z,2026-05-03T06:50:00Z,1,0
btc-updown-5m-1777791000,2026-05-02T06:58:01.879281Z,2026-05-03T06:55:00Z,1,0
btc-updown-5m-1777791300,2026-05-02T07:03:38.080371Z,2026-05-03T07:00:00Z,0,1
btc-updown-5m-1777791600,2026-05-02T07:08:01.607924Z,2026-05-03T07:05:00Z,1,0
btc-updown-5m-1777791900,2026-05-02T07:13:13.031852Z,2026-05-03T07:10:00Z,1,0
btc-updown-5m-1777792200,2026-05-02T07:18:33.807606Z,2026-05-03T07:15:00Z,0,1
btc-updown-5m-1777792500,2026-05-02T07:23:43.4531Z,2026-05-03T07:20:00Z,0,1
btc-updown-5m-1777792800,2026-05-02T07:28:11.833555Z,2026-05-03T07:25:00Z,1,0
btc-updown-5m-1777793100,2026-05-02T07:33:02.296061Z,2026-05-03T07:30:00Z,1,0
btc-updown-5m-1777793400,2026-05-02T07:38:03.287767Z,2026-05-03T07:35:00Z,0,1
btc-updown-5m-1777793700,2026-05-02T07:43:37.25272Z,2026-05-03T07:40:00Z,1,0
btc-updown-5m-1777794000,2026-05-02T07:49:15.873755Z,2026-05-03T07:45:00Z,0,1
btc-updown-5m-1777794300,2026-05-02T07:54:05.550116Z,2026-05-03T07:50:00Z,1,0
