date,slug,startDate,endDate,p_up,p_down,resolved,outcome
2026-03-10,spx-up-or-down-on-march-10-2026,2026-03-09T12:05:49.681252Z,2026-03-10T20:00:00Z,0.0,1.0,False,
2026-03-11,spx-up-or-down-on-march-11-2026,2026-03-10T12:02:36.960969Z,2026-03-11T20:00:00Z,0.0,1.0,False,
2026-03-12,spx-up-or-down-on-march-12-2026,2026-03-11T12:30:47.854281Z,2026-03-12T20:00:00Z,0.0,1.0,False,
2026-03-13,spx-up-or-down-on-march-13-2026,2026-03-12T12:02:25.002131Z,2026-03-13T20:00:00Z,0.0,1.0,False,
2026-03-16,spx-up-or-down-on-march-16-2026,2026-03-13T12:02:47.926894Z,2026-03-16T20:00:00Z,1.0,0.0,False,
2026-03-17,spx-up-or-down-on-march-17-2026,2026-03-16T12:06:16.899509Z,2026-03-17T20:00:00Z,1.0,0.0,False,
2026-03-18,spx-up-or-down-on-march-18-2026,2026-03-17T12:05:06.311468Z,2026-03-18T20:00:00Z,0.0,1.0,False,
2026-03-19,spx-up-or-down-on-march-19-2026,2026-03-18T12:02:33.958821Z,2026-03-19T20:00:00Z,0.0,1.0,False,
2026-03-20,spx-up-or-down-on-march-20-2026,2026-03-19T12:02:26.841664Z,2026-03-20T20:00:00Z,0.0,1.0,False,
2026-03-23,spx-up-or-down-on-march-23-2026,2026-03-20T12:02:39.815955Z,2026-03-23T20:00:00Z,1.0,0.0,False,
2026-03-24,spx-up-or-down-on-march-24-2026,2026-03-23T12:02:43.20806Z,2026-03-24T20:00:00Z,0.0,1.0,False,
2026-03-25,spx-up-or-down-on-march-25-2026,2026-03-24T12:04:33.258249Z,2026-03-25T20:00:00Z,1.0,0.0,False,
2026-03-26,spx-up-or-down-on-march-26-2026,2026-03-25T12:02:29.464136Z,2026-03-26T20:00:00Z,0.0,1.0,False,
2026-03-27,spx-up-or-down-on-march-27-2026,2026-03-26T12:03:31.389462Z,2026-03-27T20:00:00Z,0.0,1.0,False,
2026-03-30,spx-up-or-down-on-march-30-2026,2026-03-27T12:03:31.546799Z,2026-03-30T20:00:00Z,0.0,1.0,False,
2026-03-31,spx-up-or-down-on-march-31-2026,2026-03-30T12:02:44.221663Z,2026-03-31T20:00:00Z,1.0,0.0,False,
2026-04-01,spx-up-or-down-on-april-1-2026,2026-03-31T12:03:04.851377Z,2026-04-01T20:00:00Z,1.0,0.0,False,
2026-04-02,spx-up-or-down-on-april-2-2026,2026-04-01T12:03:48.195235Z,2026-04-02T20:00:00Z,1.0,0.0,False,
2026-04-06,spx-up-or-down-on-april-6-2026,2026-04-02T12:03:47.248845Z,2026-04-06T20:00:00Z,1.0,0.0,False,
2026-04-07,spx-up-or-down-on-april-7-2026,2026-04-06T12:03:19.455042Z,2026-04-07T20:00:00Z,1.0,0.0,False,
2026-04-08,spx-up-or-down-on-april-8-2026,2026-04-07T12:03:27.723005Z,2026-04-08T20:00:00Z,1.0,0.0,False,
2026-04-09,spx-up-or-down-on-april-9-2026,2026-04-08T12:03:30.302731Z,2026-04-09T20:00:00Z,1.0,0.0,False,
2026-04-10,spx-up-or-down-on-april-10-2026,2026-04-09T12:02:39.0424Z,2026-04-10T20:00:00Z,0.0,1.0,False,
2026-04-13,spx-up-or-down-on-april-13-2026,2026-04-10T12:02:27.369841Z,2026-04-13T20:00:00Z,1.0,0.0,False,
2026-04-14,spx-up-or-down-on-april-14-2026,2026-04-13T12:02:45.550099Z,2026-04-14T20:00:00Z,1.0,0.0,False,
2026-04-15,spx-up-or-down-on-april-15-2026,2026-04-14T12:04:15.409536Z,2026-04-15T20:00:00Z,1.0,0.0,False,
2026-04-16,spx-up-or-down-on-april-16-2026,2026-04-15T22:16:58.438727Z,2026-04-16T20:00:00Z,1.0,0.0,False,
2026-04-17,spx-up-or-down-on-april-17-2026,2026-04-16T12:11:49.566565Z,2026-04-17T20:00:00Z,1.0,0.0,False,
2026-04-20,spx-up-or-down-on-april-20-2026,2026-04-17T12:03:13.233697Z,2026-04-20T20:00:00Z,0.0,1.0,False,
2026-04-21,spx-up-or-down-on-april-21-2026,2026-04-20T12:12:09.901486Z,2026-04-21T20:00:00Z,0.0,1.0,False,
2026-04-22,spx-up-or-down-on-april-22-2026,2026-04-21T12:02:34.047738Z,2026-04-22T20:00:00Z,1.0,0.0,False,
